review_type,item_code,asset_code,name,model,detail
categoria_pendiente,EQ-0724,,MODULO DE EXPANSION DIGITAL 2 ENTRADAS ANALOGICAS MARCA SIEMENS SERIE C-R7,S/M,pendiente
categoria_pendiente,EQ-0725,,MODULO AM2 MARCA SIEMENS SERIE C-R4A76196,S/M,pendiente
categoria_pendiente,EQ-0727,,COMPUTADOR PORTATIL LENOVO THINKPAD L430 PROCESADOR INTEL CORE I5-3210M (2 50 GHZ) 4GB DE MEMORIA RAM DDR3 INCLUYE MALETIN CANDADO Y MOUSE MARCA KLIP,THINKPAD L430,pendiente
categoria_pendiente,EQ-0728,,FUENTE DE PODER MARCA QUAD POWER MODELO XP-581 N DE SERIE 222442,XP-581,pendiente
categoria_pendiente,EQ-0729,,"PINZA AMPERIMETRICA MARCA AARON, MODELO 3266TD",3266TD,pendiente
categoria_pendiente,EQ-0730,,FUENTE DE PODER SIEMENS-MODELO:6EP3332-6SB00-0AY0,6EP3332-6SB00-0AY0,pendiente
categoria_pendiente,EQ-0731,,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0001,W330UST,pendiente
categoria_pendiente,EQ-0732,,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0121,W330UST,pendiente
categoria_pendiente,EQ-0733,,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0302,W330UST,pendiente
categoria_pendiente,EQ-0734,,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0123,W330UST,pendiente
categoria_pendiente,EQ-0735,,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0022,W330UST,pendiente
categoria_pendiente,EQ-0736,,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0134,W330UST,pendiente
categoria_pendiente,EQ-0737,,PROYECTOR MULTIMEDIA DE DISTANCIA ULTRA CORTA CON SOPORTE DE PARED MARCA OPTOMA MODELO W330UST SERIEQ7C6948WAAAAB0042,W330UST,pendiente
categoria_pendiente,EQ-0740,,LAPTOP CON PROCESADOR CORE I7 1.8 GHZ MEMORIA 8GB DISCO SSD 512GB PANTALLA 14 INCLUYE MOCHILA MOUSE CANDADO ADAPTADOR HDMI A VGA,PROBOOK 440 G6,pendiente
categoria_pendiente,EQ-0741,,GENERADOR DE OZONO WSTA-MODELO:X002810JH9,X002810JH9,pendiente
categoria_pendiente,EQ-0742,,"REBAJADORA CNC ROUTER(FRESADO, GRABADO) WEGSRT-MODELO:2021-SERIE:163134",2021,pendiente
