item_code,asset_code,old_code,serial_code,model,brand,entry_date,assignment_date,condition,availability_status,notes
EQ-0614,28286570,356039,356039,356039,356039,2011-11-15,2019-06-20,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0615,28286571,356040,356040,356040,356040,2011-11-15,2019-06-20,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0616,28286572,356041,356041,356041,356041,2011-11-15,2019-06-20,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0617,28286573,356042,356042,356042,356042,2011-11-15,2019-06-20,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0609,28286574,356043,356043,356043,356043,2011-11-15,2019-06-20,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0642,28290676,446591,SINSERIE446591,446591,446591,1986-04-17,2019-06-20,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0720,28297298,,28297298,76753,,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0539,28470716,16904,SIN.S/N AMMC43501482,X2,INFOCUS,2004-12-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0468,28471346,92219,SIN.S/N 92219,92219,92219,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0422,28471347,92220,SIN.S/N 92220,28-605,92220,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0467,28471348,92221,SIN.S/N 92221,92221,92221,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0469,28471349,92222,SIN.S/N 92222,92222,92222,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0482,28471350,92223,SIN.S/N 92223,92223,92223,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0475,28471351,92224,SIN.S/N 92224,92224,92224,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0458,28471352,92225,SIN.S/N 92225,92225,92225,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0474,28471353,92226,SIN.S/N 92226,92226,92226,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0466,28471354,92227,SIN.S/N 92227,92227,92227,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0459,28471355,92228,SIN.S/N 92228,92228,92228,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0473,28471356,92229,SIN.S/N 92229,92229,92229,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0477,28471357,92230,SIN.S/N 92230,92230,92230,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0460,28471358,92231,SIN.S/N 92231,92231,92231,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0472,28471359,92233,SIN.S/N 28-100,92233,92233,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0464,28471360,92234,SIN.S/N 28-105,92234,92234,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0462,28471361,92235,SIN.S/N 28-125,92235,92235,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0461,28471362,92236,SIN.S/N 28-130,92236,92236,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0463,28471363,92237,SIN.S/N 28-135,92237,92237,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0465,28471364,92238,SIN.S/N 28-140,92238,92238,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0479,28471365,92239,SIN.S/N 92239,92239,T.E.I.,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0441,28471366,92240,SIN.S/N 28-200,92240,92240,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0442,28471367,92241,SIN.S/N 28-201,92241,92241,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0470,28471368,92242,SIN.S/N 27-205,92242,92242,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0391,28471369,92257,SIN.S/N 76,92257,EQUITECH TRAINING SYSTEMES LTD.,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0457,28471372,92274,SIN.S/N 28-101,92274,92274,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0478,28471373,92275,SIN.S/N 18-102,92275,92275,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0471,28471374,92276,SIN.S/N 92276,92276,92276,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0476,28471375,92279,SIN.S/N 92279,92279,92279,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0318,28471376,92282,SIN.S/N 92282,DL2011,92282,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0316,28471377,92283,SIN.S/N 92283,92283,92283,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0317,28471378,92284,SIN.S/N 92284,92284,92284,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0315,28471379,92285,SIN.S/N 92285,DL2080,92285,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0525,28471381,92295,SIN.S/N 92295,803123,SAMAR,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0218,28471384,92298,SIN.S/N 92298,92298,92298,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0446,28471385,92301,SIN.S/N 92301,92301,92301,1982-02-15,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0721,28471390,,28471390,HC-G205,,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0453,28471394,92455,SIN.S/N 92455,92455,92455,1991-12-09,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0583,28471395,92459,SIN.S/N L092914,DT-2234A,TECHO,1991-12-17,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0456,28471396,92615,SIN.S/N 92615,92615,92615,1993-12-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0444,28471398,92649,SIN.S/N 302681,92649,EXTECH,1995-01-13,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0443,28471399,92650,SIN.S/N 302672,92650,EXTECH,1995-01-13,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0545,28471401,92712,SIN.S/N 159TUE6284,M336MC20D2AA,MOTOROLA,1995-06-23,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0494,28471403,92807,SIN.S/N 147-29483,3011B,BK PRECISION,1997-02-20,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0321,28471404,92829,SIN.S/N B022626,TDS-210,TEKTRONIX,1997-04-21,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0330,28471406,92888,SIN.S/N B042777,TDS-210,TEKTRONIX,1998-04-22,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0554,28471408,92935,SIN.S/N D07102,G200,DALITE,1999-12-07,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0373,28471409,92999,SIN.S/N TMC-5297,TOPMAX,EETOOLS,2003-01-06,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0544,28471410,93007,SIN.S/N KYWI-0307127,TCO-1500ES,TEW,2003-12-04,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0413,28471411,93009,SIN.S/N 93009,93009,SIEMENS,2003-12-17,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0481,28471412,93010,SIN.S/N 93010,ICM450C,ICM,2003-12-17,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0538,28471414,93061,SIN.S/N AHHC40802572,X1,INFOCUS,2004-05-05,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0542,28471415,93062,SIN.S/N 44706,VPL-CS6,SONY,2004-05-05,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0537,28471417,93103,SIN.S/N ALSN43900595,LP540,INFOCUS,2004-12-28,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0722,28471418,,28471418,3UF5001-3AJ00-1,SIEMENS S07,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0319,28471419,93124,SIN.S/N C-T2C16471,S7-300,SIEMENS,2005-05-06,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0339,28471778,98868,SIN.S/N 98868,AMPERCLAMP,ICE,1992-02-03,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0352,28471779,98912,SIN.S/N 98912,98912,98912,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0426,28471780,98918,SIN.S/N 742293,98918,PHYWE,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0340,28471781,98919,SIN.S/N 98919,98919,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0343,28471782,98920,SIN.S/N 98920,P140,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0341,28471783,98921,SIN.S/N 98921,P144,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0342,28471784,98922,SIN.S/N 98922,P145,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0344,28471785,98923,SIN.S/N 98923,P243,GOSSEN,1983-05-24,2019-07-11,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
