item_code,name,stock_total,suggested_category,matched_old_item,matched_old_name,similarity,confidence,approved_category
EQ-0758,JUEGO DE BROCAS 16 PIEZAS-MARCA TRUPER-ESTUCHE NARANJA-METAL PLASTICO -16 X 15 CM,1,BIENES SUJETOS A CONTROL,EQ-0183,BIENES SUJETOS A CONTROL/PERSIANA/PERSIANA VERTICAL PLASTICA COLOR BEIGE DE 142 CM X 160 CM (5),0.348,baja,BIENES SUJETOS A CONTROL
EQ-0759,LINTERNA LED RECARGABLE DE 300 LUMENES- MARCA BESTVALUE-COLOR NEGRO-PLASTICO-14CM,1,EQUIPO ELECTRONICO,EQ-0496,GENERADOR DE FUNCIONES MARCA TEKTRONICS- SERIE NO C035453,0.326,baja,EQUIPO ELECTRONICO
EQ-0760,LLAVE INGLESA 10 PULGADAS-MARCA COMANDO-COLOR CROMADO-ACERO-10 PULGADAS,1,BIENES SUJETOS A CONTROL,EQ-0190,BIENES SUJETOS A CONTROL/PORTA /CPU/PORTA CPU METALICO COLOR PLOMO CON GARRUCHAS,0.304,baja,BIENES SUJETOS A CONTROL
EQ-0761,LLAVE DE TUBO 10 PULGADAS-MARCA BP-COLOR AZUL-HIERRO,1,EQUIPO ELECTRONICO,EQ-0285,EQUIPO ELECTRONICO/MONITOR/MONITOR DE 19PULGADAS MARCA HP MODELO LE1901W 1,0.348,baja,EQUIPO ELECTRONICO
EQ-0762,MARCO DE ALTA TENSION REGULABLE DE 8-10Y12 PULGADAS -MARCA STANLEY- CROMADO Y NEGRO-METAL GOMA,2,EQUIPOS DE OFICINA Y ADMINISTRACION,EQ-0540,EQUIPOS DE OFICINA Y ADMINISTRACION/PROYECTOR/PROYECTOR DE VIDEO Y DATOS MARCA LG- DLP- MODELO DS125- SERIE 708DTQZ00404,0.294,baja,EQUIPOS DE OFICINA Y ADMINISTRACION
EQ-0763,PISTOLA PARA SILICONA-PARA CARTUCHOS DE 280 ML Y 300 ML-MARCA TRUPER-COLOR NARANJA-METAL-37CM,1,KIT PARA INSTALACION DE COMUNICACIONES,EQ-0571,KIT PARA INSTALACION DE COMUNICACIONES/LAMPARA DE SENALIZACION COLOR ROJO 120V CON CAJA METALICA DE 10X8X7 CM CON DOS BORNES DE CONEXION,0.302,baja,KIT PARA INSTALACION DE COMUNICACIONES
EQ-0764,PLAYO DE PRESION-CABEZA: ACERO INOXIDABLELARGO: 10 PULGADAS-MARCA COMANDO - COLOR CROMADO,3,MUEBLES DE OFICINA,EQ-0627,MUEBLES DE OFICINA/FRANELOGRAFO/FRANELOGRAFO EN MADERA CONTRACHAPADA DE 9 MM FORRADO CON PANO COLOR VERDE DE 150X80 CM,0.289,baja,MUEBLES DE OFICINA
EQ-0765,PLAYO GRANDE-MARCA COMANDO- COLOR VERDE-METAL- 10 PULGADAS,3,PUPITRE,EQ-0653,PUPITRE/METAL/PUPITRE METALICO PINTADO AL SOPLETE EN COLOR VERDE,0.341,baja,PUPITRE
EQ-0766,PONCHADORA DE CABLE DE RED-DIMENSIONES: 8 PULGADAS-MARCA STANLEY - COLOR NEGRO Y AMARILLO-METAL PLASTICO,1,EQUIPO ELECTRONICO,EQ-0243,EQUIPO ELECTRONICO/FUENTE DE PODER/FUENTE DE PODER SIN MARCA SIN MODELO CON N DE SERIE 019667,0.296,baja,EQUIPO ELECTRONICO
EQ-0767,SILLA ESTUDIANTIL ESTRUCTURA METALICA Y ASIENTO Y ESPALDAR POLIPROPILENO.- COLOR NEGRO,63,MUEBLES DE OFICINA,EQ-0645,MUEBLES DE OFICINA/SILLA/ESTATICA/SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON COROSIL COLOR NEGRO,0.554,baja,MUEBLES DE OFICINA
EQ-0768,MESA PUPITRE ESTRUCTURA METALICA Y TABLERO MELAMINA .- DIMENSIONES: 50 CM X 80 CM X 70.5 CM .- COLOR: TABLERO BLANCO Y ESTRUCTURA GRIS,63,MUEBLES DE OFICINA,EQ-0623,MUEBLES DE OFICINA/ESTACION DE TRABAJO/MIXTO/ESTACION DE TRABAJO TABLERO MELAMINICO COLOR GRIS DE 18OCM X 170CM TABLERO CORREDIZO PARA TECLADO 2 GAVETAS Y ARCHIVADOR,0.327,baja,MUEBLES DE OFICINA
EQ-0772,OSCILOSCOPIO / SERIE: DS1ZE274M0086 / MODELO: DS SERIES / MARCA: RIGOL,1,EQUIPOS MEDICO QUIRURGICOS,EQ-0559,EQUIPOS MEDICO QUIRURGICOS/OSCILOSCOPIO/INGRESO MEDIANTE ACTA NO 199 OSILOSCOPIO DIGITAL 100MHZ SERIE SN 023506908 MODELO HMO 1202 SERIES MARCA ROHDE&SCHWARZ,0.356,baja,EQUIPOS MEDICO QUIRURGICOS
EQ-0773,OSCILOSCOPIO / SERIE: DS1ZA274M00276 / MODELO: DS SERIES / MARCA: RIGOL,1,EQUIPOS MEDICO QUIRURGICOS,EQ-0558,EQUIPOS MEDICO QUIRURGICOS/OSCILOSCOPIO/INGRESO MEDIANTE ACTA NO 199 OSILOSCOPIO DIGITAL 100MHZ SERIE SN 023506907 MODELO HMO 1202 SERIES MARCA ROHDE&SCHWARZ,0.349,baja,EQUIPOS MEDICO QUIRURGICOS
EQ-0774,OSCILOSCOPIO / SERIE: DS1ZA274M00277 / MODELO: DS SERIES / MARCA: RIGOL,1,EQUIPOS MEDICO QUIRURGICOS,EQ-0558,EQUIPOS MEDICO QUIRURGICOS/OSCILOSCOPIO/INGRESO MEDIANTE ACTA NO 199 OSILOSCOPIO DIGITAL 100MHZ SERIE SN 023506907 MODELO HMO 1202 SERIES MARCA ROHDE&SCHWARZ,0.349,baja,EQUIPOS MEDICO QUIRURGICOS
EQ-0775,OSCILOSCOPIO / SERIE: DS1ZA274M00272 / MODELO: DS SERIES / MARCA: RIGOL,1,EQUIPOS MEDICO QUIRURGICOS,EQ-0558,EQUIPOS MEDICO QUIRURGICOS/OSCILOSCOPIO/INGRESO MEDIANTE ACTA NO 199 OSILOSCOPIO DIGITAL 100MHZ SERIE SN 023506907 MODELO HMO 1202 SERIES MARCA ROHDE&SCHWARZ,0.349,baja,EQUIPOS MEDICO QUIRURGICOS
EQ-0780,CAMARA TERMICA/ MARCA: AEMC/ MODELO 1954/ SERIE: 4XAA/IECLR6,1,BIEN INSTITUCIONAL,EQ-0480,PANEL PARA VARIADOR DE VELOCIDAD MARCA SIEMENS MICROMATES 4- SERIE NO XAU222-002851,0.348,baja,BIEN INSTITUCIONAL
EQ-0781,PANTALLA INTERACTIVA DE 86 PULGADAS.-MODELO:DS-D5286A4-1V0S.-MARCA:SEELINKIN.-SERIE:QM202511W029.-INCLUYE CONTROL REMOTO-2 LAPICES -CABLE HDMI-VGA-USB Y SOPORTE,1,EQUIPOS DE OFICINA Y ADMINISTRACION,EQ-0537,EQUIPOS DE OFICINA Y ADMINISTRACION/PROYECTOR/PROYECTOR DE DATOS Y VIDEO INFOCUS LP 540- SERIE ALSN43900595- CON CONTROL REMOTO RM-PJ2- EN MALETIN NEGRO DE NYLON,0.284,baja,EQUIPOS DE OFICINA Y ADMINISTRACION
EQ-0782,PANTALLA INTERACTIVA DE 86 PULGADAS.-MODELO:DS-D5286A4-1V0S.-MARCA:SEELINKIN.-SERIEQM202511W098.-INCLUYE CONTROL REMOTO-2 LAPICES -CABLE HDMI-VGA-USB Y SOPORTE,1,EQUIPOS DE OFICINA Y ADMINISTRACION,EQ-0537,EQUIPOS DE OFICINA Y ADMINISTRACION/PROYECTOR/PROYECTOR DE DATOS Y VIDEO INFOCUS LP 540- SERIE ALSN43900595- CON CONTROL REMOTO RM-PJ2- EN MALETIN NEGRO DE NYLON,0.272,baja,EQUIPOS DE OFICINA Y ADMINISTRACION
EQ-0783,PANTALLA INTERACTIVA DE 86 PULGADAS.-MODELO:DS-D5286A4-1V0S.-MARCA:SEELINKIN.-SERIE:QM202511W099.-INCLUYE CONTROL REMOTO-2 LAPICES -CABLE HDMI-VGA-USB Y SOPORTE,1,EQUIPOS DE OFICINA Y ADMINISTRACION,EQ-0537,EQUIPOS DE OFICINA Y ADMINISTRACION/PROYECTOR/PROYECTOR DE DATOS Y VIDEO INFOCUS LP 540- SERIE ALSN43900595- CON CONTROL REMOTO RM-PJ2- EN MALETIN NEGRO DE NYLON,0.284,baja,EQUIPOS DE OFICINA Y ADMINISTRACION
